Neighborhood,Latitude,Longitude
Arbutus Ridge,49.24630515,-123.15963596031234
Downtown,49.283393,-123.1174563
Dunbar-Southlands,49.23786405,-123.18435438641457
Fairview,49.2619557,-123.13040841718826
Grandview-Woodland,49.2758495,-123.06693442344125
Hastings-Sunrise,49.277829749999995,-123.04000539682754
Kensington-Cedar Cottage,49.24678955,-123.07347506810925
Kerrisdale,49.2209848,-123.1595483795563
Killarney,49.21801175,-123.03711501300283
Kitsilano,49.2694099,-123.155267
Marpole,49.2092233,-123.1361495
Mount Pleasant,49.26404825,-123.09624917307579
Oakridge,49.22661495,-123.12294326439083
Renfrew-Collingwood,49.24857685,-123.0401793213624
Riley Park,49.2448536,-123.10303486729175
Shaughnessy,49.24630515,-123.13840505989171
South Cambie,49.2464639,-123.12160272080624
Strathcona,49.2776935,-123.08853925078753
Sunset,49.2190935,-123.0916654159852
Victoria-Fraserview,49.2189795,-123.06381586330446
West End,49.2841308,-123.1317949
West Point Grey,49.268102150000004,-123.20264254731434
