Neighborhood,Criteria,Venue,Venue Latitude,Venue Longitude,Venue Category
Arbutus Ridge,Entertainment,Dunbar Theater,49.24561315512162,-123.18542830775695,Indie Movie Theater
Arbutus Ridge,Entertainment,Dance Co,49.248821659882104,-123.15497875213623,Dance Studio
Arbutus Ridge,Education,Point Grey Secondary,49.237441349010446,-123.15396676195967,School
Arbutus Ridge,Education,Carnarvon Community School,49.25653193273869,-123.17386150360107,School
Arbutus Ridge,Education,St. John's School,49.262445004869576,-123.15370080611598,School
Arbutus Ridge,Education,Prince of Wales Secondary School,49.245762688131535,-123.15790064219227,High School
Arbutus Ridge,Education,Kerrisdale Elementary,49.236139707472354,-123.17358148886187,College Academic Building
Arbutus Ridge,Education,York House School,49.249887834154464,-123.14078084238365,High School
Arbutus Ridge,Education,Shaughnessy Elementary,49.24864669666744,-123.14394588059187,Elementary School
Arbutus Ridge,Education,Little Flower Academy,49.24931568732471,-123.13876680185157,High School
Arbutus Ridge,Education,Kitsilano Secondary School,49.261871300914166,-123.1639861465734,High School
Arbutus Ridge,Education,Crofton House School,49.2342200926082,-123.17694143311459,High School
Arbutus Ridge,Education,Maple Grove Elementary,49.230757204704936,-123.15093836343407,Elementary School
Arbutus Ridge,Education,Lord Tennyson Elementary School,49.26278771246391,-123.14899227380805,Elementary School
Arbutus Ridge,Education,Lord Kitchener Elementary School,49.25048328420511,-123.18094388336044,Community College
Arbutus Ridge,Education,West Side Family Place,49.262458,-123.168657,College Rec Center
Arbutus Ridge,Food,The Patty Shop,49.250680286551926,-123.16791618888072,Caribbean Restaurant
Arbutus Ridge,Food,Butter Baked Goods,49.242209327685536,-123.17038089631828,Bakery
Arbutus Ridge,Food,La Buca,49.25054949418862,-123.16793319878863,Italian Restaurant
Arbutus Ridge,Food,Bufala,49.23743420766769,-123.1555764422288,Pizza Place
Arbutus Ridge,Food,Nando's,49.2345454527471,-123.15405897707295,Portuguese Restaurant
Arbutus Ridge,Food,Ajisai Sushi Bar,49.23398442419018,-123.15360541803292,Japanese Restaurant
Arbutus Ridge,Food,Minerva's Pizza & Steakhouse,49.234674420009775,-123.16177360236595,Italian Restaurant
Arbutus Ridge,Food,Golden Ocean Seafood Restaurant,49.23452983626083,-123.15322564497062,Chinese Restaurant
Arbutus Ridge,Food,White Spot,49.23763447335214,-123.15546667190972,Burger Joint
Arbutus Ridge,Food,Yuwa Japanese Cuisine,49.25793848947922,-123.16788395483331,Japanese Restaurant
Arbutus Ridge,Food,Pho Tan Vietnamese Beef Noodle Soup & Bubble Tea,49.23455461158346,-123.15441878514892,Vietnamese Restaurant
Arbutus Ridge,Food,Edible Flours,49.263739,-123.156533,Vegetarian / Vegan Restaurant
Arbutus Ridge,Food,Faubourg Bistro,49.23446892208264,-123.15742165218629,Café
Arbutus Ridge,Food,Gramercy Grill,49.2620287157925,-123.15303199384294,Restaurant
Arbutus Ridge,Food,Sofra Mediterannean Kitchen,49.23472787768308,-123.15918121085116,Mediterranean Restaurant
Arbutus Ridge,Food,Handi Cuisine of India,49.24675755239661,-123.18525036850964,Indian Restaurant
Arbutus Ridge,Food,Subway,49.244558336641234,-123.15397490622523,Sandwich Place
