Neighborhood,Entertainment,Education,Food,Nightlife,Outdoor,Healthcare,Religion,Shop,Transportation
Arbutus Ridge,2,14,72,4,28,21,8,43,11
Downtown,70,93,249,169,148,61,20,184,111
Dunbar-Southlands,7,5,31,5,16,4,5,33,4
Fairview,44,53,174,60,99,67,12,129,72
Grandview-Woodland,11,27,118,30,46,26,9,71,31
Hastings-Sunrise,8,16,79,12,31,14,10,50,26
Kensington-Cedar Cottage,5,19,150,6,35,29,9,39,46
Kerrisdale,5,5,59,5,18,9,6,57,15
Killarney,3,8,31,6,17,9,4,43,9
Kitsilano,33,25,155,36,86,34,5,119,55
Marpole,8,4,63,6,21,7,4,76,30
Mount Pleasant,36,49,184,56,79,43,22,109,66
Oakridge,7,26,58,5,30,21,15,70,26
Renfrew-Collingwood,3,12,90,12,31,17,8,63,31
Riley Park,9,25,129,19,49,48,19,78,44
Shaughnessy,8,26,111,7,37,25,15,72,33
South Cambie,12,29,136,16,50,52,18,87,42
Strathcona,36,75,162,74,96,35,12,85,69
Sunset,3,25,78,6,18,14,10,48,29
Victoria-Fraserview,2,10,55,5,11,15,6,49,17
West End,65,94,221,164,142,68,16,191,113
West Point Grey,5,11,58,6,29,8,5,41,7
